Steroidogenic stroma,Steroidogenic theca,Early theca,Pericyte,Fibroblast-like stroma,Smooth muscle
Tenm4,Mgarp,Enpep,Rgs5,Enpp2,Myh11
Htra3,Aldh1a1,Adcy7,Notch3,Fzd1,Actg2
Ogn,Cyp17a1,Thbd,Ndufa4l2,Gatm,Cnn1
Tcf21,Cyp11a1,Mest,Rgs4,Igfbp4,Tagln
Itih5,Fdx1,Stmn1,Gm13889,Tnfrsf19,Ednrb
Mfap4,Hao2,Mycn,Ebf1,Plat,Lmod1
Rarres2,Folr1,Hhip,Steap4,Cadm4,Fhdc1
Pmepa1,Acsbg1,Lamc3,Serpini1,Lpl,Fhl1
Kcnk2,Serpina5,Hmgb2,Tinagl1,Tnc,Tpm2
Cxcl12,Dnajc15,Top2a,Gja4,Tgfbi,Acta2
